ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,E2X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,268,5490,2144
,,,,,,SER-FSDU-CFT-12F,268,9290,2144
,,,,,,SER-FSDU-CFT-24F,268,3662,2144
,,,,,,SER-FSDU-CFT-48F,268,504,2144
,F02-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,221,13000,3536
,,,,,,SER-FSDU-CFT-12F,221,5070,3536
,,,,,,SER-FSDU-CFT-24F,221,4100,3536
,,,,,,SER-FSDU-CFT-48F,221,45,3536
,F1T-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,298,5640,2384
,,,,,,SER-FSDU-CFT-12F,298,5640,2384
,,,,,,SER-FSDU-CFT-24F,298,3350,2384
,,,,,,SER-FSDU-CFT-48F,298,3700,2384
,F3T-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,125,5485,1000
,,,,,,SER-FSDU-CFT-12F,125,1835,1000
,,,,,,SER-FSDU-CFT-24F,125,2075,1000
,,,,,,SER-FSDU-CFT-48F,125,0,1000
,FM2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,16,1320,128
,,,,,,SER-FSDU-CFT-12F,16,102,128
,,,,,,SER-FSDU-CFT-24F,16,223,128
,,,,,,SER-FSDU-CFT-48F,16,0,128
,FP2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,275,10710,2200
,,,,,,SER-FSDU-CFT-12F,275,3994,2200
,,,,,,SER-FSDU-CFT-24F,275,3512,2200
,,,,,,SER-FSDU-CFT-48F,275,0,2200
,FX2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,173,4890,1384
,,,,,,SER-FSDU-CFT-12F,173,5424,1384
,,,,,,SER-FSDU-CFT-24F,173,2904,1384
,,,,,,SER-FSDU-CFT-48F,173,0,1384
,FZX-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,329,5510,2632
,,,,,,SER-FSDU-CFT-12F,329,5500,2632
,,,,,,SER-FSDU-CFT-24F,329,3630,2632
,,,,,,SER-FSDU-CFT-48F,329,4230,2632
,G17-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,53,3593,848
,,,,,,SER-FSDU-CFT-12F,53,1243,848
,,,,,,SER-FSDU-CFT-24F,53,184,848
